woman_id,age,myth_injection_causes_infertility,myth_contraceptives_cause_health_problems,myth_contraceptives_harm_womb,myth_contraceptives_reduce_sexual_urge,myth_contraceptives_cause_cancer,myth_contraceptives_cause_deformed_babies,myth_contraceptives_are_dangerous
1421,17.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1422,24.0,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
1423,23.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree
1424,28.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1425,27.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
1426,37.0,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree
1427,40.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,,Strongly Agree
1428,25.0,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
1429,28.0,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree
1430,31.0,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree
1431,26.0,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
1432,17.0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree
1433,23.0,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree
1434,39.0,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
1435,48.0,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
1436,31.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
1437,46.0,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
1438,36.0,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree
1439,34.0,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree
1440,17.0,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree
1441,23.0,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
1442,46.0,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree
1443,17.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1444,27.0,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
1445,23.0,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree
1446,20.0,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
1447,30.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1448,42.0,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1449,47.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree
1450,17.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree
1451,21.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree
1452,42.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
1453,48.0,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree
1454,35.0,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
1455,36.0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
1456,45.0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree
1457,25.0,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree
1458,46.0,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree
1459,16.0,,,,,,,
1460,36.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
1461,42.0,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree
1462,48.0,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree
1463,41.0,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
1466,20.0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1468,24.0,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree
1469,17.0,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree
1470,27.0,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree
1471,21.0,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
1472,26.0,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree
1473,23.0,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree
1474,21.0,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree
1475,16.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree
1476,49.0,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
